,Cuit,Empresa / Razón Social,Región,Provincia,Localidad,Número De Acto,Fecha Del Acto Administrativo,Fecha En Boletín Oficial,tamaño
0,30715253727,Brave New Technology SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,533E,15/8/2018,16/8/2018,
1,30712485546,Bright Sector SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,99,13/8/2015,20/8/2015,
2,30708928387,Bsf SA,Cuyo,Mendoza,Chacras De Coria,155,17/11/2015,23/11/2015,
3,30651515897,Btb Soft SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,7,29/2/2016,3/4/2016 00:00,
4,30607986289,Buenosaires Software SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,41,15/6/2016,22/6/2016,
5,30618539225,Buffa Sistemas SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,557E,15/8/2018,17/8/2018,
6,30706053812,Bumeran.Com Argentina SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,65 E,26/6/2017,28/6/2017,
7,30707277285,Business Development Facilities SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,29,31/5/2016,3/6/2016,
8,30708161485,Business Vision SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,93,20/9/2016,28/9/2016,
9,30623373084,C Y S Informatica SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,50,6/1/2015 00:00,6/5/2015 00:00,
10,30638247913,C Y T Comunicaciones Y Telematica SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,118,9/11/2015 00:00,18/9/2015,
11,30685816179,C-Net SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,175E,21/5/2018,23/5/2018,
12,30709998796,Carena Sistemas SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,16E,30/1/2018,2/1/2018 00:00,
13,30691595729,Cda Tecnologia Informatica SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,51,6/1/2015 00:00,6/8/2015 00:00,
14,30712526579,Cdss SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,164,23/11/2015,30/11/2015,
15,30714769061,Celerative SRL,Pampeana,Buenos Aires,La Plata,79 E,8/3/2017 00:00,8/7/2017 00:00,
16,30560577601,Censys SA,Noroeste,Tucuman,Yerba Buena,11,10/6/2016 00:00,10/12/2016 00:00,
17,30707061010,Certant SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,12,3/6/2015 00:00,3/12/2015 00:00,
18,30684641502,Chess Desarrollos Informaticos SRL,Pampeana,Santa Fe,Rosario,5,18/2/2016,24/2/2016,
19,30636414243,Cies Sistemas SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,91,42193,13/8/2015,
20,30711313423,Clarika SA,Pampeana,Cordoba,Cordoba,53,24/11/2016,30/11/2016,
21,30709663336,Clariphy Argentina SA,Pampeana,Cordoba,Cordoba,6,23/2/2015,26/2/2015,
22,30708709324,Clarius Consulting SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,22,20/3/2015,30/3/2015,
23,30711048657,Clarotest Consulting Lab SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,18,4/7/2016 00:00,4/12/2016 00:00,
24,30715402706,Cloudwork SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,131E,21/12/2017,26/12/2017,
25,30714497789,Clover Sistemas SRL,Pampeana,Santa Fe,Rosario,24 E,3/2/2017 00:00,3/6/2017 00:00,
26,30696889283,Codes SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,177,12/1/2015 00:00,12/9/2015 00:00,
27,30698911200,Coin Tech Sociedad Anonima,Pampeana,Cordoba,Cordoba,90,8/7/2015 00:00,13/8/2015,
28,30560325033,Colinet Trotta SA,Pampeana,Santa Fe,Rosario,147,28/10/2015,11/2/2015 00:00,
29,30710758618,Community Mind SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,4E,19/1/2018,22/1/2018,
30,30708098333,CompaÃ±ia Argentina de Desarrollo Informatico SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,73,29/8/2016,9/1/2016 00:00,
31,30707078754,Conexia SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,94,8/12/2015 00:00,19/8/2015,
32,30711136483,Confluencia Fto SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,91,20/9/2016,28/9/2016,
33,30707964606,Consensusargentina SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,21,27/4/2016,29/4/2016,
34,30715278266,ConsorcioAbierto SRL,Pampeana,Buenos Aires,Bahía Blanca,151,3/1/2019 00:00,3/7/2019 00:00,
35,30711392889,Consultora Eudaimonia SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,51 E,24/5/2017,30/5/2017,
36,30708255374,Consultores En Desarrollos Tecnologicos Sociedad Anonima,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,108,9/4/2015 00:00,9/10/2015 00:00,
37,30636484187,Consultores En Organizacion Asociados SA,Pampeana,Santa Fe,Rosario,44,5/12/2015 00:00,18/5/2015,
38,30681519994,Consultoria En Tecnologia de Informacion Sociedad Anonima,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,13,3/11/2015 00:00,17/3/2015,
39,30714719943,CONTAGRAM ARGENTINA S.R.L.,Pampeana,Ciudad Autonoma De Buenos Aires,San Nicolás,532,12/7/2018 00:00,11/12/2018 00:00,
40,30693761421,Core Sdi SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,115 E,11/1/2017 00:00,11/6/2017 00:00,
41,30709759457,Corebi SA,Pampeana,Cordoba,Cordoba,28,27/5/2016,6/1/2016 00:00,
42,33711201659,Creative Coefficient SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,11,17/3/2016,23/3/2016,
43,30698999337,Cruz Del Sur Consulting,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,46,14/11/2016,17/11/2016,
44,30715137026,Cti Consultores Asociados SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,428E,23/7/2018,25/7/2018,
45,30707314903,Cubika SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,28,15/4/2015,21/4/2015,
46,30714287539,CYSC S.R.L.,Pampeana,Ciudad Autonoma De Buenos Aires,Belgrano,378,25/10/2018,29/10/2018,
47,30651205901,D C Sistemas Y Servicios Sociedad Anonima,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,63,8/11/2016 00:00,16/8/2016,
48,30710761678,D.L.R. SA,Pampeana,Cordoba,Cordoba,214E,31/5/2018,6/4/2018 00:00,
49,30702185366,Daassnet SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,53,13/7/2016,18/7/2016,
50,30708217812,Daeva SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,109,42103,10/9/2015,
51,30714962910,Darwoft,Pampeana,Cordoba,Cordoba,127E,18/4/2018,19/4/2018,
52,30601951394,Datatech SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,100,27/9/2016,30/9/2016,
53,30710173652,Dattatec.Com SRL,Pampeana,Santa Fe,Rosario,51,24/11/2016,30/11/2016,
54,30711293163,DbGroup SRL,Pampeana,Ciudad Autonoma De Buenos Aires,Palermo,177E,2/10/2018 00:00,4/10/2018 00:00,
55,30708310898,Dcc.Soft SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,101,13/8/2015,20/8/2015,
56,30695562671,Decision Support SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,48,15/11/2016,18/11/2016,
57,30681362130,Delsat Group SA,Pampeana,Buenos Aires,Mar Del Plata,57,24/11/2016,30/11/2016,
58,30710744188,Desnac Sociedad Anonima,Pampeana,Cordoba,Cordoba,17,4/7/2016 00:00,4/12/2016 00:00,
59,30701307115,Despegar.com.ar SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,82 E,18/8/2017,24/8/2017,
60,30711819017,Devartis SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,7,23/1/2017,26/1/2017,
61,30663103942,Di Chena Y Asociadossrl,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,101,27/9/2016,30/9/2016,
62,30710370571,Dicsys SA,Pampeana,Cordoba,Cordoba,39,11/2/2016 00:00,11/7/2016 00:00,
63,33708989369,Diltacrossargentina SA,Pampeana,Buenos Aires,Caseros,37,15/6/2016,22/6/2016,
64,30714078646,Div Inf Sociedad Anonima,Pampeana,Buenos Aires,MuÃ±iz,14 E,2/8/2017 00:00,13/2/2017,
65,30707317538,Dl Consultores SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,62,23/6/2015,29/6/2015,
66,30661857818,Document Technologies SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,39,5/5/2015 00:00,5/12/2015 00:00,
67,30710554184,Dsa SRL,Pampeana,Cordoba,Estacion Bell Ville,46,5/12/2015 00:00,18/5/2015,
68,30714895172,Dw Soluciones Tecnologicas SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,21 E,23/2/2017,3/2/2017 00:00,
69,30715191357,Dynamo Creative SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,5E,19/1/2018,22/1/2018,
70,30699021217,E Marketing Sociedad Anonima,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,8,26/1/2017,31/1/2017,
71,30709739170,E Solutions SA,Pampeana,Cordoba,Cordoba,49,7/7/2016 00:00,14/7/2016,
72,30707768785,E-Buyplace SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,171,12/1/2015 00:00,12/9/2015 00:00,
73,30708245581,E-Ducativa Educacion Virtual SA,Pampeana,Santa Fe,Rosario,149,28/10/2015,11/2/2015 00:00,
74,30677801456,Ec Sistemassrl,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,165,23/11/2015,30/11/2015,
75,30714781460,Ecloud Solutions SRL,Pampeana,Santa Fe,Rosario,56 E,6/6/2017 00:00,6/9/2017 00:00,
76,30711811725,Ecoclimasol SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,485E,31/7/2018,8/2/2018 00:00,
77,30711193762,Edrans SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,36,15/6/2016,22/6/2016,
78,33708653239,Eit SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,133,22/9/2015,10/8/2015 00:00,
79,30715378406,ELEMENTUM SCM ARGENTINA SRL,Pampeana,Ciudad Autonoma De Buenos Aires,Retiro,596E,17/12/2018,19/12/2018,
80,30611834523,Elinpar Sociedad Anonima,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,105,26/8/2015,9/1/2015 00:00,
81,30698413545,Emm SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,72,22/8/2016,25/8/2016,
82,30710326564,Enerminds SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,76,21/12/2016,26/12/2016,
83,30712318585,Engee It SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,175,12/1/2015 00:00,12/9/2015 00:00,
84,30712005285,Enta Tga SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,14,4/7/2016 00:00,20/4/2016,
85,30715213083,ENVIOPACK S.A.,Pampeana,Ciudad Autonoma De Buenos Aires,Nuñez,620E,19/12/2018,21/12/2018,
86,30708851457,Epidata SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,1,16/1/2017,18/1/2017,
87,30708846194,Ergo Renova SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,150,28/10/2015,11/2/2015 00:00,
88,30708334584,Esg Dilec SA,Pampeana,Santa Fe,Rosario,54,13/7/2016,18/7/2016,
89,30709472999,Etsol SRL,Noreste,Entre Rios,Parana,10 E,2/7/2017 00:00,2/10/2017 00:00,
90,30707099360,Everisargentina SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,70,22/8/2016,25/8/2016,
91,30707407367,Excelencia En Soluciones Informaticas SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,64,26/6/2015,7/2/2015 00:00,
92,30708120207,Exemys SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,76,24/7/2015,30/7/2015,
93,30710276699,Extend It SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,493E,8/6/2018 00:00,8/8/2018 00:00,
94,30707296751,F C P Consultoresasociados SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,36,5/5/2015 00:00,5/11/2015 00:00,
95,30662052309,F P A Softwaresrl,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,131,22/9/2015,10/1/2015 00:00,
96,30711090300,F Y B Sistemas SA,Pampeana,Santa Fe,Esperanza,11 E,2/7/2017 00:00,2/10/2017 00:00,
97,30712330291,Fennoma SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,121 E,15/11/2017,17/11/2017,
98,30698431454,Finnegans SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,37,5/5/2015 00:00,5/11/2015 00:00,
99,33708632959,First Systems SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,25 E,3/2/2017 00:00,3/6/2017 00:00,
100,30712363084,Fizzmod SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,551E,15/8/2018,17/8/2018,
101,30692330508,Flow Technology SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,1,28/1/2016,29/1/2016,
102,30710404069,Flux It SA,Pampeana,Buenos Aires,La Plata,80E,14/3/2018,15/3/2018,
103,30707725555,Folder Soluciones SA,Pampeana,Santa Fe,Ruinas Santa Fe La Vieja,103,27/9/2016,30/9/2016,
104,30709744751,Fun Factory SRL,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,73,21/7/2015,27/7/2015,
105,33714483809,Fun4Ride SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,43,11/11/2016 00:00,16/11/2016,
106,30707142096,G & L Group SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,113,9/8/2015 00:00,15/9/2015,
107,30707855394,G Y F Soluciones Informaticas SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,8,25/2/2015,3/2/2015 00:00,
108,30709283339,G.C. Sistemas Informaticos SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,38,15/6/2016,22/6/2016,
109,30711053669,GADIK SRL,Pampeana,Ciudad Autonoma De Buenos Aires,Villa Devoto,47,17/1/2019,21/1/2019,
110,30709693898,Gauss Sistemas SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,106,9/4/2015 00:00,9/10/2015 00:00,
111,30642056529,Geosystems SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,85,28/7/2015,31/7/2015,
112,30708188472,Gestion. It SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,103,26/8/2015,9/1/2015 00:00,
113,30708547472,Gi SA,Pampeana,Buenos Aires,Mar Del Plata,66,7/2/2015 00:00,7/8/2015 00:00,
114,33679921229,Gilbarco Latin America SRL,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,42,11/7/2016 00:00,11/10/2016 00:00,
115,30707609032,Ginkgo Soft SRL,Pampeana,Cordoba,Cordoba,98,8/12/2015 00:00,19/8/2015,
116,30710817770,Global Business Consulting SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,72 E,7/11/2017 00:00,14/7/2017,
117,30710458428,Global Share SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,86 E,9/5/2017 00:00,9/8/2017 00:00,
118,30709016934,Global Think Technology SA,Pampeana,Cordoba,Cordoba,68 E,7/3/2017 00:00,7/6/2017 00:00,
119,30710933037,Globalis Sociedad Anonima,Cuyo,Mendoza,Godoy Cruz,129 E,12/11/2017 00:00,13/12/2017,
120,30710146388,Glya SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,73 E,28/7/2017,8/1/2017 00:00,
121,30712455655,Go Commerce SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,85E,23/3/2018,27/3/2018,
122,30711565732,Gonzalo Matias Escribano Y Carlos Gabriel Molina Sh,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,17 E,16/2/2017,21/2/2017,
123,30647828473,Gpl Sistemas SA,Pampeana,Santa Fe,Rosario,1026,9/11/2015 00:00,17/9/2015,
124,33708131259,Grupo Ayex SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,13,10/7/2016 00:00,13/10/2016,
125,30709147354,Grupo Calipso SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,3-E,10/6/2016 00:00,10/12/2016 00:00,
126,30709110361,Grupo Esfera SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,31,16/4/2015,22/4/2015,
127,30707023437,HANDCRAFT ARGENTINA,Pampeana,Buenos Aires,Bernal Oeste,204,21/3/2019,25/3/2019,
128,30693291778,Hardata SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,27,27/5/2016,6/1/2016 00:00,
129,30680956606,Harriague Y Asociados SRL,Pampeana,Cordoba,Cordoba,64,8/11/2016 00:00,16/8/2016,
130,30688577671,Hasar Sistemas SRL,Pampeana,Buenos Aires,El Talar,24,4/6/2015 00:00,4/10/2015 00:00,
131,30707046836,Hexacta SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,65,26/6/2015,7/2/2015 00:00,
132,30709218405,Hipercubo SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,75,24/7/2015,30/7/2015,
133,30637728780,Holistor SA,Pampeana,Santa Fe,Rosario,30,31/5/2016,6/3/2016 00:00,
134,30708705132,Huddle Group SA,Pampeana,Ciudad Autonoma De Buenos Aires,Ciudad Autonoma De Buenos Aires,25,13/4/2015,17/4/2015,
135,30707591788,Huenei Consultora Informatica SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,29,16/4/2015,21/4/2015,
136,30708555971,I.D.S. SRL,Pampeana,Cordoba,Cordoba,59,12/5/2016 00:00,12/7/2016 00:00,
137,30708775890,Iafh Global SA,Pampeana,Buenos Aires,Tandil,26,13/4/2015,17/4/2015,
138,30715191942,IANTECH SRL,Pampeana,Ciudad Autonoma De Buenos Aires,Belgrano,407E,11/1/2018 00:00,2/11/2018 00:00,
139,30709641154,Identicum SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,174,12/1/2015 00:00,12/9/2015 00:00,
140,30711661820,INCLUSION SERVICES S.A.,Pampeana,Buenos Aires,Tigre,16E,12/9/2018 00:00,13/9/2018 00:00,
141,30714549851,Increasecard SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,81E,15/3/2018,19/3/2018,
142,30711022623,INFINITELOOP S.A.,Pampeana,Buenos Aires,Ramos Mejía,205,21/3/2019,25/3/2019,
143,30707937722,Infoil SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,81,28/7/2015,31/7/2015,
144,30712548777,Infologic SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,107,9/4/2015 00:00,9/10/2015 00:00,
145,30690796216,Infomedical SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,121,22/9/2015,28/9/2015,
146,30707549773,Information Technology And Services SA,Pampeana,Buenos Aires,Caminera Lujan,71,16/12/2016,20/12/2016,
147,30707061975,Information Technology Consulting SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,128,22/9/2015,28/9/2015,
148,30601820923,Ingematica SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,56,6/10/2015 00:00,16/6/2015,
149,30708825472,Ingenieria Y Consultoria G&B SA,Pampeana,Buenos Aires,Mar Del Plata,83,28/7/2015,31/7/2015,
150,30670318474,Innovision Sociedad Anonima,Patagonia,Chubut,Comodoro Rivadavia,156,17/11/2015,23/11/2015,
151,30710311044,Insside Informacion Inteligente Sociedad de Responsabilidad,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,30,31/10/2016,11/2/2016 00:00,
152,33620035799,Intech Computacion SRL,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,86,29/7/2015,8/4/2015 00:00,
153,30707912886,Integ SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,172,12/1/2015 00:00,12/9/2015 00:00,
154,30708748605,Integral Software SRL,Noreste,Entre Rios,Parana,152E,3/5/2018 00:00,5/7/2018 00:00,
155,30709449601,Intel Software de Argentina SA,Pampeana,Buenos Aires,Vicente Lopez,58,15/7/2016,21/7/2016,
156,30709252239,Inteligencia Y Tecnologia SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,23,4/6/2015 00:00,4/10/2015 00:00,
157,30700873141,Interfaces SA,Pampeana,Ciudad Autonoma Buenos Aires,Ciudad Autonoma De Buenos Aires,59,23/6/2015,29/6/2015,
