"puestos_trabajo","rol_ocupacional","grupo_ocupacional"
"Analista Sistemas OT","Seguridad","Técnicos"
"Security Researcher","Seguridad","Técnicos"
"Access management","Seguridad","Técnicos"
"Access management control","Seguridad","Técnicos"
"Access management analyst","Seguridad","Técnicos"
"Ethical hacker","Seguridad","Técnicos"
"System Administrator","Seguridad","Técnicos"
"SecOps","Seguridad","Técnicos"
"Network System Engineer","Seguridad","Técnicos"
"System Administrator","Seguridad","Técnicos"
"AML","Seguridad","Técnicos"
"Sys Admin","Seguridad","Técnicos"
"Gestión de Accesos","Seguridad","Técnicos"
"Management Control Analyst","Seguridad","Técnicos"
"Cloud Engineer","Seguridad","Técnicos"
"Administrador de datos","Seguridad","Técnicos"
"Data Security","Seguridad","Técnicos"
"Cloud Security Engineer","Seguridad","Técnicos"
"Cybersecurity Analyst","Seguridad","Técnicos"
"Cyberdefense","Seguridad","Técnicos"
"Security","Seguridad","Técnicos"
"Cybersecurity ","Seguridad","Técnicos"
"Soporte de infraestructura IT","Soporte","Funcionales"
"Especialista en redes","Soporte","Funcionales"
"Técnico de redes","Soporte","Funcionales"
"Técnica de redes","Soporte","Funcionales"
"Ingeniero de redes","Soporte","Funcionales"
"Ingeniera de redes","Soporte","Funcionales"
"Analista de Infraestructura","Soporte","Funcionales"
"Infrastructure Engineer","Soporte","Funcionales"
"Ingeniero de Infraestructura ","Soporte","Funcionales"
"Ingeniera de Infraestructura ","Soporte","Funcionales"
"Ingeniero en soporte Middleware","Soporte","Funcionales"
"Ingeniera en soporte Middleware","Soporte","Funcionales"
"Ingeniero Middleware","Soporte","Funcionales"
"Ingeniera Middleware","Soporte","Funcionales"
"Consultor Middleware","Soporte","Funcionales"
"Consultora Middleware","Soporte","Funcionales"
"Operador mainframe ","Soporte","Funcionales"
"Operadora mainframe ","Soporte","Funcionales"
"Operadora de mainframe ","Soporte","Funcionales"
"Operador de mainframe ","Soporte","Funcionales"
"Mainframe developer","Soporte","Funcionales"
"Soporte OnSite ","Soporte","Funcionales"
"Onsite support ","Soporte","Funcionales"
"Soporte técnico","Soporte","Funcionales"
"Technical Support","Soporte","Funcionales"
"Soporte Funcional","Soporte","Funcionales"
"Soporte de redes","Soporte","Funcionales"
"Support Analyst","Soporte","Funcionales"
"Analista de Soporte","Soporte","Funcionales"
"Support Engineer ","Soporte","Funcionales"
"Support Specialist","Soporte","Funcionales"
"Site Support Engineer ","Soporte","Funcionales"
"App Support","Soporte","Funcionales"
"Application Support","Soporte","Funcionales"
"Technical Support Engineer","Soporte","Funcionales"
"Global Support Engineer","Soporte","Funcionales"
"Atención al usuario","Soporte","Funcionales"
"Customer Care","Soporte","Funcionales"
"Customer Service","Soporte","Funcionales"
"Customer Support","Soporte","Funcionales"
"Service Desk","Soporte","Funcionales"
"HelpDesk","Soporte","Funcionales"
"Help Desk","Soporte","Funcionales"
"NOC","Soporte","Funcionales"
"NOC operator","Soporte","Funcionales"
"NOC engineer","Soporte","Funcionales"
"Network Operations Center operator","Soporte","Funcionales"
"Network Operations Center","Soporte","Funcionales"
"Cloud support","Soporte","Funcionales"
"Cloud and IaaS Technical support","Soporte","Funcionales"
"Analista de sistemas","Soporte","Funcionales"
"Soporte Técnico IT","Soporte","Funcionales"
"IT Support ","Soporte","Funcionales"
"Consultor TIC","Soporte","Funcionales"
"Consultora TIC","Soporte","Funcionales"
"Workplace IT","Soporte","Funcionales"
"IT Procurement","Soporte","Funcionales"
"Mesa de ayuda","Soporte","Funcionales"
"Desk","Soporte","Funcionales"
"Consultor informático","Soporte","Funcionales"
"Support Technician","Soporte","Funcionales"
"Service Electronic Engineer","Soporte","Funcionales"
"Infraestructura IT","Soporte","Funcionales"
"ITIL","Soporte","Funcionales"
"Soluciones IT","Soporte","Funcionales"
"Soporte IT","Soporte","Funcionales"
"TI / IT Services","Soporte","Funcionales"
"Systems Engineer","Soporte","Funcionales"
"Implementaciones IT","Soporte","Funcionales"
"SRE","Soporte","Funcionales"
"Network Engineer","Soporte","Funcionales"
"Site Reliability","Soporte","Funcionales"
"Firmware","Soporte","Funcionales"
"Auxiliar de redes","Soporte","Funcionales"
"Incident Manager","Soporte","Funcionales"
"Field Engineer","Soporte","Funcionales"
"Operador de sistemas","Soporte","Funcionales"
"Ingeniero de telecomunicaciones","Soporte","Funcionales"
"Facilities Specialist","Soporte","Funcionales"
"control documental","Soporte","Funcionales"
"Documentación de Sistema","Soporte","Funcionales"
"Customer care","Soporte","Funcionales"
"Tech Analyst","Soporte","Funcionales"
"Service Consultant","Soporte","Funcionales"
"Project Control Services","Soporte","Funcionales"
"Sistemas informáticos","Soporte","Funcionales"
"Soporte TI","Soporte","Funcionales"
"Tech architect","Soporte","Funcionales"
"Jefe de soporte","Soporte","Funcionales"
"Client officer","Soporte","Funcionales"
"Infraestructura IT","Soporte","Funcionales"
"Integration Specialist","Soporte","Funcionales"
"Integrador de soluciones","Soporte","Funcionales"
"Integradora de soluciones","Soporte","Funcionales"
"Integrador","Soporte","Funcionales"
"Integradora","Soporte","Funcionales"
"PMO","Gestión","Funcionales"
"Product Manager","Gestión","Funcionales"
"Scrum","Gestión","Funcionales"
"Coordinador de proyecto","Gestión","Funcionales"
"Jefe de Proyectos","Gestión","Funcionales"
"Líder de","Gestión","Funcionales"
"Program Manager","Gestión","Funcionales"
"Team manager","Gestión","Funcionales"
"Team lead","Gestión","Funcionales"
"Project engineer","Gestión","Funcionales"
"Tech manager","Gestión","Funcionales"
"Consultora Atlassian","Gestión","Funcionales"
"Release Manager","Gestión","Funcionales"
"Staff Engineer","Gestión","Funcionales"
"Product Specialist","Gestión","Funcionales"
"Team Coordinator","Gestión","Funcionales"
"Project Assistant","Gestión","Funcionales"
"Lider de Proyecto","Gestión","Funcionales"
"Coordinadora de proyectos","Gestión","Funcionales"
"Gestion de proyecto","Gestión","Funcionales"
"Jefe de equipo","Gestión","Funcionales"
"Engineering manager","Gestión","Funcionales"
"Project Manager","Gestión","Funcionales"
"Product Manager","Gestión","Funcionales"
"Program manager","Gestión","Funcionales"
"Project coordinator","Gestión","Funcionales"
"Project scheduler","Gestión","Funcionales"
"Coordinador de proyecto","Gestión","Funcionales"
"Coordinadora de proyecto","Gestión","Funcionales"
"Coordinador de proyectos","Gestión","Funcionales"
"Coordinadora de proyectos","Gestión","Funcionales"
"Product Owner","Gestión","Funcionales"
"Tech Owner","Gestión","Funcionales"
"Technical Owner","Gestión","Funcionales"
"Technical Product Owner","Gestión","Funcionales"
"Team manager","Gestión","Funcionales"
"Project Leader ","Gestión","Funcionales"
"Scrum Master","Gestión","Funcionales"
"SDM","Gestión","Funcionales"
"Delivery Manager","Gestión","Funcionales"
"Service Delivery Manager","Gestión","Funcionales"
"Agile Delivery Manager","Gestión","Funcionales"
"Agile Coach","Gestión","Funcionales"
"System owner","Gestión","Funcionales"
"Lead","Gestión","Funcionales"
"Project leader ","Gestión","Funcionales"
"Team Leader","Gestión","Funcionales"
"Delivery Lead","Gestión","Funcionales"
"Chapter Lead ","Gestión","Funcionales"
"Tribe Lead","Gestión","Funcionales"
"Functional Team Lead","Gestión","Funcionales"
"Lider de proyecto","Gestión","Funcionales"
"co-owner","Dirección","Decisión y apoyo"
"Business Owner","Dirección","Decisión y apoyo"
"Company Owner","Dirección","Decisión y apoyo"
"Fundador","Dirección","Decisión y apoyo"
"Founder","Dirección","Decisión y apoyo"
"""VP ""","Dirección","Decisión y apoyo"
"President","Dirección","Decisión y apoyo"
"Chief","Dirección","Decisión y apoyo"
"Propietario","Dirección","Decisión y apoyo"
"Functional Manager","Dirección","Decisión y apoyo"
"Ejecutivo Funcional","Dirección","Decisión y apoyo"
"Socio gerente","Dirección","Decisión y apoyo"
"Socio ","Dirección","Decisión y apoyo"
"Gerente general","Dirección","Decisión y apoyo"
"Director","Dirección","Decisión y apoyo"
"Country manager","Dirección","Decisión y apoyo"
"Executive","Dirección","Decisión y apoyo"
"Chief Data Officer","Dirección","Decisión y apoyo"
"CDO","Dirección","Decisión y apoyo"
"CISO","Dirección","Decisión y apoyo"
"Chief Information Security Officer","Dirección","Decisión y apoyo"
"CDIO","Dirección","Decisión y apoyo"
"Chief Digital Officer","Dirección","Decisión y apoyo"
"Chief Digital Information Officer","Dirección","Decisión y apoyo"
"Chief Information Officer","Dirección","Decisión y apoyo"
"CTO","Dirección","Decisión y apoyo"
"Chief Technical Officer","Dirección","Decisión y apoyo"
"Chief Technology Officer","Dirección","Decisión y apoyo"
"Gerente operativo","Dirección","Decisión y apoyo"
"C-level","Dirección","Decisión y apoyo"
"Executive","Dirección","Decisión y apoyo"
"Ejecutivo","Dirección","Decisión y apoyo"
"Ejecutiva","Dirección","Decisión y apoyo"
"Engineering Director","Dirección","Decisión y apoyo"
"Chief Data Officer","Dirección","Decisión y apoyo"
"CDO","Dirección","Decisión y apoyo"
"CDIO","Dirección","Decisión y apoyo"
"Chief Digital Officer","Dirección","Decisión y apoyo"
"Head of Data & Analytics","Dirección","Decisión y apoyo"
"CISO","Dirección","Decisión y apoyo"
"Chief Information Security Officer","Dirección","Decisión y apoyo"
"CIO","Dirección","Decisión y apoyo"
"Gerente de sistemas","Dirección","Decisión y apoyo"
"Gerente de infraestructura IT","Dirección","Decisión y apoyo"
"Gerente de Operaciones","Dirección","Decisión y apoyo"
"Gerenta de Operaciones","Dirección","Decisión y apoyo"
"Gerente de Operaciones","Dirección","Decisión y apoyo"
"Gerenta de Operaciones","Dirección","Decisión y apoyo"
"Director","Dirección","Decisión y apoyo"
"Directora","Dirección","Decisión y apoyo"
"Co-founder","Dirección","Decisión y apoyo"
"Cofundador","Dirección","Decisión y apoyo"
"Cofundadora","Dirección","Decisión y apoyo"
"Socio","Dirección","Decisión y apoyo"
"Socia","Dirección","Decisión y apoyo"
"Partner","Dirección","Decisión y apoyo"
"Fellow","Dirección","Decisión y apoyo"
"CEO","Dirección","Decisión y apoyo"
"VP","Dirección","Decisión y apoyo"
"Vice-president","Dirección","Decisión y apoyo"
"Vicepresident","Dirección","Decisión y apoyo"
"Viceprecidente","Dirección","Decisión y apoyo"
"Vicepresidenta","Dirección","Decisión y apoyo"
"Administrativo","Administrativo / Apoyo","Decisión y apoyo"
"Vendedor","Administrativo / Apoyo","Decisión y apoyo"
"Community Manager","Administrativo / Apoyo","Decisión y apoyo"
"Auxiliar administrativo","Administrativo / Apoyo","Decisión y apoyo"
"Servicio de atención al cliente","Administrativo / Apoyo","Decisión y apoyo"
"Atención al cliente","Administrativo / Apoyo","Decisión y apoyo"
"Administrativa","Administrativo / Apoyo","Decisión y apoyo"
"Recepcionista","Administrativo / Apoyo","Decisión y apoyo"
"People","Administrativo / Apoyo","Decisión y apoyo"
"Recruiter","Administrativo / Apoyo","Decisión y apoyo"
"Recruitment","Administrativo / Apoyo","Decisión y apoyo"
"Sales","Administrativo / Apoyo","Decisión y apoyo"
"Marketing","Administrativo / Apoyo","Decisión y apoyo"
"""HR ""","Administrativo / Apoyo","Decisión y apoyo"
"Talent","Administrativo / Apoyo","Decisión y apoyo"
"Human","Administrativo / Apoyo","Decisión y apoyo"
"Payroll","Administrativo / Apoyo","Decisión y apoyo"
"Reward","Administrativo / Apoyo","Decisión y apoyo"
"Gastos","Administrativo / Apoyo","Decisión y apoyo"
"Cuentas","Administrativo / Apoyo","Decisión y apoyo"
"Facturación","Administrativo / Apoyo","Decisión y apoyo"
"Higiene","Administrativo / Apoyo","Decisión y apoyo"
"Finance","Administrativo / Apoyo","Decisión y apoyo"
"Accounting","Administrativo / Apoyo","Decisión y apoyo"
"Sustainability","Administrativo / Apoyo","Decisión y apoyo"
"Legal","Administrativo / Apoyo","Decisión y apoyo"
"Tesorería","Administrativo / Apoyo","Decisión y apoyo"
"Tesorero/a","Administrativo / Apoyo","Decisión y apoyo"
"Contador","Administrativo / Apoyo","Decisión y apoyo"
"Contable","Administrativo / Apoyo","Decisión y apoyo"
"Compras","Administrativo / Apoyo","Decisión y apoyo"
"Venta","Administrativo / Apoyo","Decisión y apoyo"
"Selección de personal","Administrativo / Apoyo","Decisión y apoyo"
"Capacitación","Administrativo / Apoyo","Decisión y apoyo"
"Training","Administrativo / Apoyo","Decisión y apoyo"
"Instructor","Administrativo / Apoyo","Decisión y apoyo"
"Comunicación","Administrativo / Apoyo","Decisión y apoyo"
"In-company teacher","Administrativo / Apoyo","Decisión y apoyo"
"Profesora in-company","Administrativo / Apoyo","Decisión y apoyo"
"Treasury","Administrativo / Apoyo","Decisión y apoyo"
"Trainer","Administrativo / Apoyo","Decisión y apoyo"
"Learning","Administrativo / Apoyo","Decisión y apoyo"
"Compliance","Administrativo / Apoyo","Decisión y apoyo"
"HRBP","Administrativo / Apoyo","Decisión y apoyo"
"Facilitator","Administrativo / Apoyo","Decisión y apoyo"
"Procurement","Administrativo / Apoyo","Decisión y apoyo"
"Facilitador","Administrativo / Apoyo","Decisión y apoyo"
"Finanzas","Administrativo / Apoyo","Decisión y apoyo"
"RSE","Administrativo / Apoyo","Decisión y apoyo"
"Customer Success","Administrativo / Apoyo","Decisión y apoyo"
"Especialista en Diversidad","Administrativo / Apoyo","Decisión y apoyo"
"Encargado de redes sociales","Administrativo / Apoyo","Decisión y apoyo"
"Recruiting","Administrativo / Apoyo","Decisión y apoyo"
"Community Manager","Administrativo / Apoyo","Decisión y apoyo"
"Técnico de selección de personal","Administrativo / Apoyo","Decisión y apoyo"
"Audit","Administrativo / Apoyo","Decisión y apoyo"
"Control de gestión","Administrativo / Apoyo","Decisión y apoyo"
"CFM","Administrativo / Apoyo","Decisión y apoyo"
"Client Financial Management","Administrativo / Apoyo","Decisión y apoyo"
"Actuarial","Administrativo / Apoyo","Decisión y apoyo"
"Tax","Administrativo / Apoyo","Decisión y apoyo"
"Impuestos","Administrativo / Apoyo","Decisión y apoyo"
"Gestión de calidad","Administrativo / Apoyo","Decisión y apoyo"
"Billing","Administrativo / Apoyo","Decisión y apoyo"
"Abogada","Administrativo / Apoyo","Decisión y apoyo"
"Contract","Administrativo / Apoyo","Decisión y apoyo"
""" HR""","Administrativo / Apoyo","Decisión y apoyo"
"Calidad ISO","Administrativo / Apoyo","Decisión y apoyo"
"CRM Specialist","Administrativo / Apoyo","Decisión y apoyo"
"Business Development","Administrativo / Apoyo","Decisión y apoyo"
"Profesor/a","Otros","Decisión y apoyo"
"Traductor/a","Otros","Decisión y apoyo"
"Docente","Otros","Decisión y apoyo"
"Universidad","Otros","Decisión y apoyo"
"Facultad","Otros","Decisión y apoyo"
"Coderhouse","Otros","Decisión y apoyo"
"Estudiante","Otros","Decisión y apoyo"
"Polo it","Otros","Decisión y apoyo"
"Camara","Otros","Decisión y apoyo"
"Cátedra","Otros","Decisión y apoyo"
"Gobierno de","Otros","Decisión y apoyo"
"Centro de","Otros","Decisión y apoyo"
"Municipal","Otros","Decisión y apoyo"
"Instituto","Otros","Decisión y apoyo"
"Colegio","Otros","Decisión y apoyo"
"Direccion general","Otros","Decisión y apoyo"
"Hospital","Otros","Decisión y apoyo"
"Centro médico","Otros","Decisión y apoyo"
"Investigador","Otros","Decisión y apoyo"
"Ministerio","Otros","Decisión y apoyo"
"Agencia de quiniela","Otros","Decisión y apoyo"
